Req. No. | requirement | subject | s-tag | s-ner | s-type | verb | v-tag | vcat | vprocess | object | o-tag | o-ner | o-type | label 
22|The SCM system shall allow the Coordinator to view details of particular resource location.|coordinator|NN|O|person|view|NN|1|0|detail|NN|O|cognition|-1
22|The SCM system shall allow the Coordinator to view details of particular resource location.|coordinator|NN|O|person|view|NN|1|0|detail of particular resource location|NN|O|cognition|-1
23|The SCM system shall allow the Coordinator to delete resource locations.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
23|The SCM system shall allow the Coordinator to delete resource locations.|coordinator|NN|O|person|delete|VB|1|1|resource location|NN|O|possession|-1
24|The SCM System shall allow the Supplier to edit his/her profile.|SCM System|NNP|O|group|shall allow|VB|1|0|supplier|NN|O|person|-1
24|The SCM System shall allow the Supplier to edit his/her profile.|supplier|NN|O|person|edit|VB|1|0|his/her profile|NN|O|communication|-1
25|The SCM System shall allow the Supplier to view pending supply requests.|SCM System|NNP|O|group|shall allow|VB|1|0|view pend supply request|NN|O|cognition|-1
25|The SCM System shall allow the Supplier to view pending supply requests.|SCM System|NNP|O|group|shall allow|VB|1|0|supplier|NN|O|person|-1
25|The SCM System shall allow the Supplier to view pending supply requests.|SCM System|NNP|O|group|shall allow|VB|1|0|view|NN|O|cognition|-1
25|The SCM System shall allow the Supplier to view pending supply requests.|supplier|NN|O|person|view pend|NN|1|0|supply request|NN|O|quantity|-1
26|The SCM System shall allow the Supplier to view details of particular supply request.|supplier|NN|O|person|view|NN|1|0|detail of supply request|NN|O|cognition|-1
26|The SCM System shall allow the Supplier to view details of particular supply request.|SCM System|NNP|O|group|shall allow|VB|1|0|supplier|NN|O|person|-1
26|The SCM System shall allow the Supplier to view details of particular supply request.|supplier|NN|O|person|view|NN|1|0|detail of particular supply request|NN|O|cognition|-1
26|The SCM System shall allow the Supplier to view details of particular supply request.|supplier|NN|O|person|view|NN|1|0|detail|NN|O|cognition|-1
27|The SCM System shall allow the Supplier to send feedback on request.|supplier|NN|O|person|send feedback on|IN|1|0|request|NN|O|communication|-1
27|The SCM System shall allow the Supplier to send feedback on request.|SCM System|NNP|O|group|shall allow|VB|1|0|supplier|NN|O|person|-1
27|The SCM System shall allow the Supplier to send feedback on request.|supplier|NN|O|person|send|VB|1|0|feedback|NN|O|process|-1
28|The SCM System shall allow the Customer to edit his/her profile.|SCM System|NNP|O|group|shall allow|VB|1|0|customer|NN|O|person|-1
28|The SCM System shall allow the Customer to edit his/her profile.|customer|NN|O|person|edit|VB|1|0|his/her profile|NN|O|communication|-1
29|The SCM System shall allow the Customer to add new request.|customer|NN|O|person|add|VB|0|1|request|NN|O|communication|-1
29|The SCM System shall allow the Customer to add new request.|SCM System|NNP|O|group|shall allow|VB|1|0|customer|NN|O|person|-1
29|The SCM System shall allow the Customer to add new request.|customer|NN|O|person|add|VB|0|1|new request|NN|O|communication|-1
30|The SCM System shall allow the Customer to view his/her pending requests.|customer|NN|O|person|view|NN|1|0|pend request|NN|O|communication|-1
30|The SCM System shall allow the Customer to view his/her pending requests.|SCM System|NNP|O|group|shall allow|VB|1|0|customer|NN|O|person|-1
30|The SCM System shall allow the Customer to view his/her pending requests.|customer|NN|O|person|view|NN|1|0|request|NN|O|communication|-1
30|The SCM System shall allow the Customer to view his/her pending requests.|customer|NN|O|person|view|NN|1|0|his/her request|NN|O|communication|-1
30|The SCM System shall allow the Customer to view his/her pending requests.|customer|NN|O|person|view|NN|1|0|his/her pend request|NN|O|communication|-1
31|The SCM System shall allow the Customer to edit his/her requests.|SCM System|NNP|O|group|shall allow|VB|1|0|customer|NN|O|person|-1
31|The SCM System shall allow the Customer to edit his/her requests.|customer|NN|O|person|edit|VB|1|0|request|NN|O|communication|-1
31|The SCM System shall allow the Customer to edit his/her requests.|customer|NN|O|person|edit|VB|1|0|his/her request|NN|O|communication|-1
32|The SCM system shall allow the Customer to send notification to Coordinator after editing the requests.|customer|NN|O|person|send|VB|1|0|notification|NN|O|act|-1
32|The SCM system shall allow the Customer to send notification to Coordinator after editing the requests.|SCM system|NN|O|group|shall allow|VB|1|0|customer|NN|O|person|-1
32|The SCM system shall allow the Customer to send notification to Coordinator after editing the requests.|customer|NN|O|person|send notification to|TO|1|0|coordinator|NN|O|person|-1
33|The SCM System shall allow the Customer to delete his/her requests.|customer|NN|O|person|delete|VB|1|1|request|NN|O|communication|-1
33|The SCM System shall allow the Customer to delete his/her requests.|SCM System|NNP|O|group|shall allow|VB|1|0|customer|NN|O|person|-1
33|The SCM System shall allow the Customer to delete his/her requests.|customer|NN|O|person|delete|VB|1|1|his/her request|NN|O|communication|-1
34|The SCM system shall allow the Customer to send notification to Coordinator after deleting the requests.|customer|NN|O|person|send|VB|1|0|notification|NN|O|act|-1
34|The SCM system shall allow the Customer to send notification to Coordinator after deleting the requests.|SCM system|NN|O|group|shall allow|VB|1|0|customer|NN|O|person|-1
34|The SCM system shall allow the Customer to send notification to Coordinator after deleting the requests.|customer|NN|O|person|send notification to|TO|1|0|coordinator|NN|O|person|-1
35|The SCM System shall allow the Coordinator to manage Customer information.|coordinator|NN|O|person|manage|VBP|0|0|customer information|NN|O|person|-1
35|The SCM System shall allow the Coordinator to manage Customer information.|SCM System|NNP|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
36|The SCM system shall allow the Coordinator to add Customers.|coordinator|NN|O|person|add|VB|0|1|customer|NN|O|person|-1
36|The SCM system shall allow the Coordinator to add Customers.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
37|The SCM system shall allow the Coordinator to view Customers.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
37|The SCM system shall allow the Coordinator to view Customers.|coordinator|NN|O|person|view|NN|1|0|customer|NN|O|person|-1
38|The SCM system shall allow the Coordinator to edit Customers.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
38|The SCM system shall allow the Coordinator to edit Customers.|coordinator|NN|O|person|edit|VB|1|0|customer|NN|O|person|-1
39|The SCM system shall allow the Coordinator to send notification to the Customer after editing Customer's profile.|coordinator|NN|O|person|send notification to|TO|1|0|customer|NN|O|person|-1
39|The SCM system shall allow the Coordinator to send notification to the Customer after editing Customer's profile.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
39|The SCM system shall allow the Coordinator to send notification to the Customer after editing Customer's profile.|coordinator|NN|O|person|send|VB|1|0|notification|NN|O|act|-1
39|The SCM system shall allow the Coordinator to send notification to the Customer after editing Customer's profile.|editing customer|NN|O|communication|after|IN|1|0|profile|NN|O|communication|-1
39|The SCM system shall allow the Coordinator to send notification to the Customer after editing Customer's profile.|coordinator|NN|O|person|send notification after|IN|1|0|editing customer 's profile|NN|O|communication|-1
40|The SCM system shall allow the Coordinator to delete Customers.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
40|The SCM system shall allow the Coordinator to delete Customers.|coordinator|NN|O|person|delete|VB|1|1|customer|NN|O|person|-1
41|The SCM system shall allow the Coordinator to view details of particular Customer.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
41|The SCM system shall allow the Coordinator to view details of particular Customer.|coordinator|NN|O|person|view|NN|1|0|detail of particular customer|NN|O|cognition|-1
41|The SCM system shall allow the Coordinator to view details of particular Customer.|coordinator|NN|O|person|view|NN|1|0|detail|NN|O|cognition|-1
41|The SCM system shall allow the Coordinator to view details of particular Customer.|coordinator|NN|O|person|view|NN|1|0|detail of customer|NN|O|cognition|-1
42|The SCM System shall allow the Coordinator to manage Supplier information.|SCM System|NNP|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
42|The SCM System shall allow the Coordinator to manage Supplier information.|coordinator|NN|O|person|manage|VBP|0|0|Supplier information|NN|O|person|-1
43|The SCM system shall allow the Coordinator to add Suppliers.|coordinator|NN|O|person|add|VB|0|1|supplier|NN|O|person|-1
43|The SCM system shall allow the Coordinator to add Suppliers.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
44|The SCM system shall allow the Coordinator to view Suppliers.|coordinator|NN|O|person|view|NN|1|0|supplier|NN|O|person|-1
44|The SCM system shall allow the Coordinator to view Suppliers.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
45|The SCM system shall allow the Coordinator to edit Suppliers.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
45|The SCM system shall allow the Coordinator to edit Suppliers.|coordinator|NN|O|person|edit|VB|1|0|supplier|NN|O|person|-1
46|The SCM system shall allow the Coordinator to send notification to the Supplier after editing Supplier's profile.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
46|The SCM system shall allow the Coordinator to send notification to the Supplier after editing Supplier's profile.|coordinator|NN|O|person|send|VB|1|0|notification|NN|O|act|-1
46|The SCM system shall allow the Coordinator to send notification to the Supplier after editing Supplier's profile.|coordinator|NN|O|person|send notification after|IN|1|0|editing supplier 's profile|NN|O|communication|-1
46|The SCM system shall allow the Coordinator to send notification to the Supplier after editing Supplier's profile.|editing supplier|NN|O|communication|after|IN|1|0|profile|NN|O|communication|-1
46|The SCM system shall allow the Coordinator to send notification to the Supplier after editing Supplier's profile.|coordinator|NN|O|person|send notification to|TO|1|0|supplier|NN|O|person|-1
47|The SCM system shall allow the Coordinator to delete Suppliers.|coordinator|NN|O|person|delete|VB|1|1|supplier|NN|O|person|-1
47|The SCM system shall allow the Coordinator to delete Suppliers.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
48|The SCM system shall allow the Coordinator to view details of particular Supplier.|coordinator|NN|O|person|view|NN|1|0|detail of supplier|NN|O|cognition|-1
48|The SCM system shall allow the Coordinator to view details of particular Supplier.|coordinator|NN|O|person|view|NN|1|0|detail of particular supplier|NN|O|cognition|-1
48|The SCM system shall allow the Coordinator to view details of particular Supplier.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
48|The SCM system shall allow the Coordinator to view details of particular Supplier.|coordinator|NN|O|person|view|NN|1|0|detail|NN|O|cognition|-1
49|The system shall allow Citizens to register their complaints which consists evidences and facts with the police.|system|NN|O|group|shall allow|VB|1|0|Citizens|NNPS|O|person|-1
49|The system shall allow Citizens to register their complaints which consists evidences and facts with the police.|Citizens|NNPS|O|person|register|VBP|0|1|they complaint|NN|O|state|-1
50|The system shall allow Police to then initiate the investigation once initial entries are made during registration.|entry|NN|O|communication|be|VB|0|0|once make|VB|O|cognition|-1
50|The system shall allow Police to then initiate the investigation once initial entries are made during registration.|entry|NN|O|communication|be|VB|0|0|make|VB|O|cognition|-1
50|The system shall allow Police to then initiate the investigation once initial entries are made during registration.|initial entry|NN|O|communication|once be make during|IN|0|0|registration|NN|O|act|-1
50|The system shall allow Police to then initiate the investigation once initial entries are made during registration.|initial entry|NN|O|communication|be|VB|0|0|make|VB|O|cognition|-1
50|The system shall allow Police to then initiate the investigation once initial entries are made during registration.|initial entry|NN|O|communication|be make during|IN|0|0|registration|NN|O|act|-1
50|The system shall allow Police to then initiate the investigation once initial entries are made during registration.|police|NNS|O|group|initiate|VBP|1|1|investigation|NN|O|cognition|-1
50|The system shall allow Police to then initiate the investigation once initial entries are made during registration.|initial entry|NN|O|communication|be|VB|0|0|once make|VB|O|cognition|-1
50|The system shall allow Police to then initiate the investigation once initial entries are made during registration.|entry|NN|O|communication|once be make during|IN|0|0|registration|NN|O|act|-1
50|The system shall allow Police to then initiate the investigation once initial entries are made during registration.|entry|NN|O|communication|be make during|IN|0|0|registration|NN|O|act|-1
50|The system shall allow Police to then initiate the investigation once initial entries are made during registration.|system|NN|O|group|shall allow|VB|1|0|police|NNS|O|group|-1
51|The system shall allow Police personnel to interface with the courts using the Prosecution module to provide a platform to record entries of the court interactions.|interface|NN|O|artifact|with|IN|1|0|court|NN|O|group|-1
51|The system shall allow Police personnel to interface with the courts using the Prosecution module to provide a platform to record entries of the court interactions.|system|NN|O|group|shall allow|VB|1|0|Police personnel|NNS|O|group|-1
51|The system shall allow Police personnel to interface with the courts using the Prosecution module to provide a platform to record entries of the court interactions.|system|NN|O|group|shall allow police personnel to|TO|1|0|interface with court|NN|O|artifact|-1
51|The system shall allow Police personnel to interface with the courts using the Prosecution module to provide a platform to record entries of the court interactions.|system|NN|O|group|shall allow police personnel to|TO|1|0|interface|NN|O|artifact|-1
51|The system shall allow Police personnel to interface with the courts using the Prosecution module to provide a platform to record entries of the court interactions.|system|NN|O|group|shall allow to|TO|1|0|interface|NN|O|artifact|-1
51|The system shall allow Police personnel to interface with the courts using the Prosecution module to provide a platform to record entries of the court interactions.|system|NN|O|group|shall allow to|TO|1|0|interface with court|NN|O|artifact|-1
52|The system shall allow Police personnel to search for a particular person, type of crime, modus operandi, property etc.|system|NN|O|group|shall allow|VB|1|0|Police personnel|NNS|O|group|-1
52|The system shall allow Police personnel to search for a particular person, type of crime, modus operandi, property etc.|Police personnel|NNS|O|group|search for|IN|1|0|property etc.|NN|O|location|-1
52|The system shall allow Police personnel to search for a particular person, type of crime, modus operandi, property etc.|Police personnel|NNS|O|group|search for|IN|1|0|type of crime|NN|O|cognition|-1
52|The system shall allow Police personnel to search for a particular person, type of crime, modus operandi, property etc.|system|NN|O|group|shall allow|VB|1|0|search for person|NN|O|act|-1
52|The system shall allow Police personnel to search for a particular person, type of crime, modus operandi, property etc.|Police personnel|NNS|O|group|search for|IN|1|0|particular person|NN|O|cognition|-1
52|The system shall allow Police personnel to search for a particular person, type of crime, modus operandi, property etc.|Police personnel|NNS|O|group|search for|IN|1|0|type|NN|O|cognition|-1
52|The system shall allow Police personnel to search for a particular person, type of crime, modus operandi, property etc.|system|NN|O|group|shall allow|VB|1|0|search for particular person|NN|O|act|-1
52|The system shall allow Police personnel to search for a particular person, type of crime, modus operandi, property etc.|system|NN|O|group|shall allow|VB|1|0|search|NN|O|act|-1
52|The system shall allow Police personnel to search for a particular person, type of crime, modus operandi, property etc.|Police personnel|NNS|O|group|search for|IN|1|0|person|NN|O|Tops|-1
52|The system shall allow Police personnel to search for a particular person, type of crime, modus operandi, property etc.|person|NN|O|Tops|type of|IN|1|0|crime|NN|O|act|-1
53|The system should allow user to customize the results view by criminal/accused or by cases.|result|NN|O|phenomenon|view by|IN|1|0|case|NN|O|act|-1
53|The system should allow user to customize the results view by criminal/accused or by cases.|system|NN|O|group|should allow|VB|1|0|customize|VB|O||-1
53|The system should allow user to customize the results view by criminal/accused or by cases.|system|NN|O|group|should allow|VB|1|0|user|NN|O|person|-1
53|The system should allow user to customize the results view by criminal/accused or by cases.|result|NN|O|phenomenon|view by|IN|1|0|criminal/accused|VBN|O|person|-1
54|The system shall make Reporting easy for the police by enabling them to execute different types of queries such as monthly reporting, RTI related etc.|they|PRP|O||execute|VBP|1|1|different type of query|NN|O|cognition|-1
54|The system shall make Reporting easy for the police by enabling them to execute different types of queries such as monthly reporting, RTI related etc.|they|PRP|O||execute|VBP|1|1|type|NN|O|cognition|-1
54|The system shall make Reporting easy for the police by enabling them to execute different types of queries such as monthly reporting, RTI related etc.|system|NN|O|group|shall make|VB|0|0|Reporting easy for police|NNS|O|communication|-1
54|The system shall make Reporting easy for the police by enabling them to execute different types of queries such as monthly reporting, RTI related etc.|system|NN|O|group|shall make|VB|0|0|Reporting easy|JJ|O|communication|-1
54|The system shall make Reporting easy for the police by enabling them to execute different types of queries such as monthly reporting, RTI related etc.|they|PRP|O||execute|VBP|1|1|different type|NN|O|cognition|-1
54|The system shall make Reporting easy for the police by enabling them to execute different types of queries such as monthly reporting, RTI related etc.|system|NN|O|group|enable|VBP|1|0|they|PRP|O||-1
54|The system shall make Reporting easy for the police by enabling them to execute different types of queries such as monthly reporting, RTI related etc.|Reporting|NNP|O|communication|easy for|IN|1|0|police|NNS|O|group|-1
54|The system shall make Reporting easy for the police by enabling them to execute different types of queries such as monthly reporting, RTI related etc.|they|PRP|O||execute|VBP|1|1|type of query|NN|O|cognition|-1
55|The system shall require the Citizen Interface to act as a conduit for the information exchange between citizens and police units/personnel.|Citizen Interface|NNP|O|person|act as|IN|1|0|conduit for information exchange between citizen|NN|O|artifact|-1
55|The system shall require the Citizen Interface to act as a conduit for the information exchange between citizens and police units/personnel.|Citizen Interface|NNP|O|person|act as|IN|1|0|conduit|NN|O|artifact|-1
55|The system shall require the Citizen Interface to act as a conduit for the information exchange between citizens and police units/personnel.|system|NN|O|group|shall require|VB|1|0|Citizen Interface|NNP|O|person|-1
55|The system shall require the Citizen Interface to act as a conduit for the information exchange between citizens and police units/personnel.|Citizen Interface|NNP|O|person|act as|IN|1|0|conduit for information exchange|NN|O|artifact|-1
56|Citizens should be able to get information or acknowledgements from police.|Citizens|NNPS|O|person|should|MD|1|0|should able|JJ|O||-1
56|Citizens should be able to get information or acknowledgements from police.|Citizens|NNPS|O|person|get|VBP|0|0|acknowledgement|NN|O|state|-1
56|Citizens should be able to get information or acknowledgements from police.|Citizens|NNPS|O|person|get information from|IN|1|0|police|NNS|O|group|-1
56|Citizens should be able to get information or acknowledgements from police.|Citizens|NNPS|O|person|get acknowledgement from|IN|1|0|police|NNS|O|group|-1
56|Citizens should be able to get information or acknowledgements from police.|Citizens|NNPS|O|person|get|VBP|0|0|information|NN|O|communication|-1
57|Police in turn should be able to respond to citizens with very little turnaround time.|police|NNS|O|group|in|IN|1|0|turn|NN|O|shape|-1
57|Police in turn should be able to respond to citizens with very little turnaround time.|police|NNS|O|group|respond with|IN|1|0|turnaround time|NN|O|time|-1
57|Police in turn should be able to respond to citizens with very little turnaround time.|police|NNS|O|group|respond to|TO|1|0|citizen|NN|O|person|-1
57|Police in turn should be able to respond to citizens with very little turnaround time.|police|NNS|O|group|should|MD|1|0|should able|JJ|O||-1
57|Police in turn should be able to respond to citizens with very little turnaround time.|police|NNS|O|group|respond with|IN|1|0|little turnaround time|NN|O|quantity|-1
57|Police in turn should be able to respond to citizens with very little turnaround time.|police|NNS|O|group|respond with|IN|1|0|very little turnaround time|NN|O|quantity|-1
58|The system shall require role based Navigation module of CCTNS to show information such as cases assigned, alerts, pending tasks etc helping police personnel to plan better and execute with greater efficiency.|role|NN|O|act|show|VBP|0|0|information|NN|O|communication|-1
58|The system shall require role based Navigation module of CCTNS to show information such as cases assigned, alerts, pending tasks etc helping police personnel to plan better and execute with greater efficiency.|system|NN|O|group|shall require|VB|1|0|role base Navigation module|NN|O|act|-1
58|The system shall require role based Navigation module of CCTNS to show information such as cases assigned, alerts, pending tasks etc helping police personnel to plan better and execute with greater efficiency.|role|NN|O|act|show|NN|0|0|pend task|NN|O|act|-1
58|The system shall require role based Navigation module of CCTNS to show information such as cases assigned, alerts, pending tasks etc helping police personnel to plan better and execute with greater efficiency.|system|NN|O|group|shall require|VB|1|0|role base Navigation module of cctns|NNS|O|act|-1
58|The system shall require role based Navigation module of CCTNS to show information such as cases assigned, alerts, pending tasks etc helping police personnel to plan better and execute with greater efficiency.|system|NN|O|group|shall require|VB|1|0|role|NN|O|act|-1
58|The system shall require role based Navigation module of CCTNS to show information such as cases assigned, alerts, pending tasks etc helping police personnel to plan better and execute with greater efficiency.|role|NN|O|act|show|NN|0|0|task|NN|O|act|-1
59|The system shall require the Configuration module of the CCTNS help keep the data elements/rules up to date.|datum|NN|O|cognition|elements/rules up|RB|1|0|up date|NN|O|communication|-1
60|The system shall require the Voucher Management Unit (VMU) to create vouchers for selling them to the clients through distributors.|system|NN|O|group|shall require|VB|1|0|Voucher Management Unit|NNP|O|person|-1
