subject,s-tag,s-NER,s-type,verb,v-tag,v-cat,v-process,object,o-tag,o-NER,o-type,label
system,NN,O,group,allow,VBP,transitive,N,participant,NN,O,person,false
slip,NN,O,act,with,IN,transitive,N,payment,NN,O,possession,false
slip,NN,O,act,be,VB,intransitive,N,together,RB,O,,false
slip,NN,O,act,with,IN,transitive,N,payment,NN,O,possession,false
payment,NN,O,possession,be,VB,intransitive,N,receive,VB,O,,false
system,NN,O,group,notify,VBP,transitive,Y,participant,NN,O,person,false
notify,VB,O,,of,IN,transitive,N,change,NN,O,event,false
system,NN,O,group,â,SYM,transitive,N,€,$,O,,false
system,NN,O,group,change,NN,intransitive,N,registration,NN,O,act,false
payment,NN,O,possession,be,VB,intransitive,N,receive,VB,O,,false
system,NN,O,group,notify,VBP,transitive,Y,participant,NN,O,person,false
system,NN,O,group,notify,VBP,transitive,Y,change,NN,O,event,false
notify,VB,O,,of,IN,transitive,N,change,NN,O,event,false
system,NN,O,group,notify,VBP,transitive,Y,change,NN,O,event,false
system,NN,O,group,allow,VBP,transitive,N,participant,NN,O,person,false
participant,NN,O,person,registration,NN,transitive,N,week,NN,O,time,false
participant,NN,O,person,registration,NN,transitive,N,event,NN,O,Tops,false
participant,NN,O,person,registration,NN,transitive,N,week,NN,O,time,false
system,NN,O,group,allow,VBP,transitive,N,participant,NN,O,person,false
participant,NN,O,person,registration,NN,transitive,N,event,NN,O,Tops,false
participant,NN,O,person,cancel,VB,transitive,Y,registration,NN,O,act,false
participant,NN,O,person,cancel,VB,transitive,Y,registration,NN,O,act,false
participant,NN,O,person,without,IN,transitive,N,charge,NN,O,communication,false
participant,NN,O,person,without,IN,transitive,N,charge,NN,O,communication,false
staff,NN,O,group,specify,VB,intransitive,Y,size,NN,O,attribute,false
staff,NN,O,group,specify,VB,intransitive,Y,size,NN,O,attribute,false
plan,NN,O,cognition,with,IN,transitive,N,size,NN,O,attribute,false
system,NN,O,group,allow,VBP,transitive,N,staff,NN,O,group,false
staff,NN,O,group,specify,VB,intransitive,Y,plan,NN,O,cognition,false
system,NN,O,group,allow,VBP,transitive,N,payment,NN,O,possession,false
system,NN,O,group,allow,VBP,transitive,N,card,NN,O,artifact,false
